"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","R19","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
"","","R20","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
"","","R21","10k","arduinouno:RC0805FR-0710KL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-10.0KCRCT-ND"
"","","R22","560R","arduinouno:RC0805FR-07560RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-560CRCT-ND"
"","","R23","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R24","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R25","22R","arduinouno:RC0805FR-0722RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-22.0CRCT-ND"
"","","R27","0R","arduinouno:RC0805JR-070RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-0.0ARCT-ND"
"","","R28","0R","arduinouno:RC0805JR-070RL","arduinouno:R0805x60mm","http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_9.pdf","311-0.0ARCT-ND"
"","","SCKT_FOR_U1","28-DIP Socket","arduinouno:4828-3004-CP","arduinouno:28DIP_7.62MM_SCKT","http://multimedia.3m.com/mws/media/218496O/3mtm-dip-socket-4800-series-ts1099.pdf","3M5480-ND"
"","","SW1","1825910-6","arduinouno:1825910-6","arduinouno:1825910-6","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English","450-1650-ND"
"","","SW2","1825910-6","arduinouno:1825910-6","arduinouno:1825910-6","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825910&DocType=Customer+Drawing&DocLang=English","450-1650-ND"
"","","U1","ATMEGA328P-PU","arduinouno:ATMEGA328P-PU","arduinouno:28PIN_PDIP_7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en589967","ATMEGA328P-PU-ND"
"","","U2","ATMEGA16U2-AU","arduinouno:ATMEGA16U2-AU","arduinouno:QFP-32_8.4x8.4_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc7799.pdf","ATMEGA16U2-AU-ND"
"","","U3","TL1963A-33DCQR","arduinouno:TL1963A-33DCQR","arduinouno:DCQ_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tl1963a.pdf","296-24534-1-ND"
"","","U4","SN74AHC1G09DBVR","arduinouno:SN74AHC1G09DBVR","arduinouno:DBV_SOT23_5","http://www.ti.com/lit/ds/symlink/sn74ahc1g09.pdf","296-29202-1-ND"
"","","U5","SN74AHC1G09DBVR","arduinouno:SN74AHC1G09DBVR","arduinouno:DBV_SOT23_5","http://www.ti.com/lit/ds/symlink/sn74ahc1g09.pdf","296-29202-1-ND"
"","","U6","SN74AHC1G09DBVR","arduinouno:SN74AHC1G09DBVR","arduinouno:DBV_SOT23_5","http://www.ti.com/lit/ds/symlink/sn74ahc1g09.pdf","296-29202-1-ND"
"","","U7","SN74AHC1G09DBVR","arduinouno:SN74AHC1G09DBVR","arduinouno:DBV_SOT23_5","http://www.ti.com/lit/ds/symlink/sn74ahc1g09.pdf","296-29202-1-ND"
"","","Y1","16.000MHz","arduinouno:ABM7-16.000MHZ-D2Y-T","arduinouno:ABM7_BIG","https://abracon.com/Resonators/abm7.pdf","535-9840-1-ND"
"","","Y2","16.000MHz","arduinouno:ABM7-16.000MHZ-D2Y-T","arduinouno:ABM7_BIG","https://abracon.com/Resonators/abm7.pdf","535-9840-1-ND"
